headers = {'Host': 'b-graph.facebook.com',
    'X-Tigon-Is-Retry': 'False',
    'X-Fb-Device-Group': '6364',
    'User-Agent': ua,
    'Authorization': 'OAuth null',
    'X-Fb-Connection-Quality': 'EXCELLENT',
    'X-Fb-Friendly-Name': 'authenticate',
    'X-Fb-Sim-Hni': str(random.randint(20000,40000)),
    'X-Fb-Net-Hni': str(random.randint(20000,40000)),
    'X-Fb-Connection-Type': 'MOBILE.LTE',
    'Content-Type': 'application/x-www-form-urlencoded',
    'X-Fb-Request-Analytics-Tags': '{"network_tags":{"product":"350685531728","retry_attempt":"0"},"application_tags":"unknown"}',
    #'Accept-Encoding': 'gzip, deflate, br',
    'X-Fb-Http-Engine': 'Liger',
    'X-Fb-Client-Ip': 'True',
    'X-Fb-Server-Cluster': 'True',
    'Connection': 'Keep-Alive'}
data = {'adid': str(uuid.uuid4()),
    'format': 'json',
    'device_id': str(uuid.uuid4()),
    'email': user_id,
    'password': password,
    'generate_analytics_claim': '1',
    'community_id': '',
    'linked_guest_account_userid': '',
    'cpl': 'true',
    'try_num': '1',
    'family_device_id': str(uuid.uuid4()),
    'secure_family_device_id': str(uuid.uuid4()),
    'sim_serials': '["00920034663520857377"]',
    'credentials_type': 'password',
    'openid_flow': 'android_login',
    'openid_provider': 'google',
    'openid_emails': '[]',
    'openid_tokens': '["eyJhbGciOiJSUzI1NiIsImtpZCI6IjkzYjQ5NTE2MmFmMGM4N2NjN2E1MTY4NjI5NDA5NzA0MGRhZjNiNDMiLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJhY2NvdW50cy5nb29nbGUuY29tIiwiYXpwIjoiMTUwNTc4MTQzNTQtbWthcmtndGlscTdrNWJvN2Y1ODA0azFkZTAybTNzYjYuYXBwcy5nb29nbGV1c2VyY29udGVudC5jb20iLCJhdWQiOiIxNTA1NzgxNDM1NC04MGNnMDU5Y240OWo2a21oaGtqYW00YjAwb24xZ2Iybi5hcHBzLmdvb2dsZXVzZXJjb250ZW50LmNvbSIsInN1YiI6IjEwMzg3NzQwMjA1Njg1MzQxNzQ3MyIsImVtYWlsIjoiZmFpc2FsbWFuZDEyNDFAZ21haWwuY29tIiwiZW1haWxfdmVyaWZpZWQiOnRydWUsInBpY3R1cmUiOiJodHRwczovL2xoMy5nb29nbGV1c2VyY29udGVudC5jb20vYS0vQUxWLVVqVWRSLTR1ekxfTlFPaDJqR3lteDg2LWg1ZmREUFZoY1l5cmhPelR2Q29xdE5lRm5aeXk9czk2LWMiLCJpYXQiOjE3MTMwMTM3MzEsImV4cCI6MTcxMzAxNzMzMX0.mkb1ag0gYhQZ6Jjw37Hdin3oFlKsNrUGIptc3NaI7DWjEPktaTqHwJcL4BJ39cN49EtAqmewVq6xbp35UbahiwUro43NfxDDRFmNxubjB1sEL6VvfDHMNkcDN2ipDYE-RpdcSgQjR1GvziLYB7CT0RjcV5Cb85ZNJycdnCVv8OWI21pEAwBHu9uxTohx7HT6uX4vZeY4a3q3A0Ky4ycDu8O55RpVe3O-nxz2sNIn2_UBioR__VSRYSrJcd4HS0sLuPq5x-Utyt35VAcO3Pq5Fmy9P2ugbL8zgMILkWgM0XU--OKKoFFBMlN34a_B4lDzIaSqYLyaPSChsSL_y2P3ZQ"]',
    'fb4a_shared_phone_cpl_experiment': 'fb4a_shared_phone_nonce_cpl_at_risk_v3',
    'fb4a_shared_phone_cpl_group': 'enable_v3_at_risk',
    'generate_session_cookies': '1',
    'error_detail_type': 'button_with_disabled',
    'source': 'login',
    'generate_machine_id': '1',
    'login_latitude': '31.24916',
    'login_longitude': '121.48789833333333',
    'login_location_accuracy_m': '10.0',
    'login_location_timestamp_ms': '1712931095000',
    'jazoest': '22371',
    'meta_inf_fbmeta': '',
    'advertiser_id': str(uuid.uuid4()),
    'encrypted_msisdn': '',
    'currently_logged_in_userid': '0',
    'locale': 'en_US',
    'client_country_code': 'US',
    'fb_api_req_friendly_name': 'authenticate',
    'fb_api_caller_class': 'Fb4aAuthHandler',
    'api_key': '882a8490361da98702bf97a021ddc14d',
    'sig': '17793fdaf9a81d005a11bb84274fad46',
    'access_token': '350685531728|62f8ce9f74b12f84c123cc23437a4a32'}
url = "https://b-graph.facebook.com/auth/login"
